Tweets,Pos_model,Neg_model,Pos_human,Neg_human,Pos_model_rounded,Neg_model_rounded,Pos_human_rounded,Neg_human_rounded
"當談到人生最糟糕的約會，
陳優雅佩琪：Hold my beer.
https://t.co/OU2pLzvBtz",4,2,1,3,4,2,1,3
"@lingl9999999 你幫我吹我幫妳添
好不好",3,2,1,1,3,2,1,1
@BrandiM43446638 我喜歡喔！,5,1,3,1,5,1,3,1
"奇怪感覺沒預報說的那麼冷欸
但我還是不想起床",2,3,1,2,2,3,1,2
@Suspect0927 ok喔！XD,5,1,2,1,5,1,2,1
"亞東醫護這個，我在猜啦
如果不是院內感染，會不會跟土城的案例可能有相關？_？
畢竟，大家都知道，板橋土城是密切生活圈
這隻變種又很狡猾，一個不小心，什麼方式都有可能感染了，更不用說他能在人體外的地方存活一陣子 https://t.co/B2lKaEiZqj",3,4,1,2,3,4,1,2
@Chailong87 那是什麼東西,2,3,1,1,2,3,1,1
@andy1992125 快來~XD,5,1,2,1,5,1,2,1
@Chailong87 就是想被吸一下（x,4,2,1,1,4,2,1,1
@raulpan_tw 可能原圖蠻小的，他還放大哈哈哈哈,5,1,2,1,5,1,2,1
證據留給聯合國各國https://t.co/QgdZvkpRIf,3,2,1,1,3,2,1,1
@sylvia_lyang 不是你親愛拍你的，視覺嗎？,4,1,1,1,4,1,1,1
"@yutsuki_rose 拍拍，記得去看眼科
請他們開個藥
避免感染這樣",3,4,1,2,3,4,1,2
"@yuuyake_ss 開會
（代表你今天別想準時下班
長話短說至少要兩小時）",2,4,1,2,2,4,1,2
"@CayCoCo1 好像有，但是會累死...
因為他是用腦波選英文字母慢慢拼湊
也就是你還得對焦去選注音
再來選字...


等打完一句
你可能手動不知道輸入幾句了


只能期待這項功能更完善",3,4,1,2,3,4,1,2
@jcc012197519 給我看了這些字都覺得害羞,3,4,1,1,3,4,1,1
@16385GCUP 打電動👍👍👍,5,1,3,1,5,1,3,1
@bbhifunsjs 讚讚,5,1,2,1,5,1,2,1
嗚嗚 https://t.co/GkEJ2u7FNY,3,2,1,2,3,2,1,2
"然後也因為這樣，就我知道，我們家這邊就只有我打了高端
嗯 https://t.co/eK3yVoxmkk",2,4,1,1,2,4,1,1
@just_baobao00 沒有啦 沒事的,3,2,1,1,3,2,1,1
出貨ing @ 嘉東李媽媽青果社 https://t.co/djZwULFmQm,4,1,1,1,4,1,1,1
@coachevasu 謝謝你阿🥰🥰,5,1,4,1,5,1,4,1
@jin0612jin 被發現了,2,3,1,1,2,3,1,1
"說到高端疫苗
之前我們家族很有社經地位的主管叔叔跟我們家說
不要去打高端，打高端是不能出國的


我就反問
你就跟我說，你至少這一年內會有出國計畫嗎？在全世界武漢還在延燒的現在?我不認為再用一年就可以讓他消失欸
如果你短期沒有出國的打算，幹嘛擔心?
我對高端有信心，拿到國際認證是遲早的",3,2,2,2,3,2,2,2
"@Jenesiss1 聽起來很像遊走在模糊地帶
很自由心證的感覺",4,1,1,1,4,1,1,1
"睡覺睡到閃到腰是怎麼一回事？
難道是老了？🥺
#廢文推",3,2,1,2,3,2,1,2
"@EleanaNg0415 還有還有
少熬夜(´；ω；｀)",4,2,1,2,4,2,1,2
@gooddayboy1121 我想幹他們,4,3,1,3,4,3,1,3
@WOLFY_5230 居然XDDDDD,5,1,2,1,5,1,2,1
@wateryourbed 好棒的屁屁🍑,5,1,3,1,5,1,3,1
@GuNgirLoki 最近都躺著或逛網拍了XDDDD,4,1,2,1,4,1,2,1
《千萬別抬頭》讓人笑著笑著就哭了 -- 上報 / 評論: https://t.co/iHF8MwNzaE,4,3,2,2,4,3,2,2
@KyonSmithInTW 不知情(但沒有否認收下),3,2,1,1,3,2,1,1
"李奧納多前女友M氏聊到人生最糟最糟糕的約會：


＂他(D氏)包下整間電影院，讓我看每一部星際大戰電影。同時，他在旁邊揮著光劍、跑來跑去、假裝他在對付那些壞蛋＂ https://t.co/ROspFyA4z7",4,2,1,3,4,2,1,3
@sexy_rose_2020 還有小孩😂不太好吧！,4,2,2,2,4,2,2,2
@yeyephoto1 一起加油吧！,5,1,2,1,5,1,2,1
@Echo_Lupus 可惡不能看到可愛的艾可,4,3,2,2,4,3,2,2
@sheng_good 呃啊啊啊這部叫什麼（手刀衝去看,4,2,2,1,4,2,2,1
@jasonjeng1 性感，型男,5,1,2,1,5,1,2,1
@Mnwe59fhVOSOcy2 壞蛋沒有用,2,4,1,3,2,4,1,3
@epiphany_76 @EhTxeF5cXxPxK62 再等什麼,2,3,1,1,2,3,1,1
@Dog520cat 生日快樂,5,1,2,1,5,1,2,1
@GJW1314 好老闆👍,5,1,2,1,5,1,2,1
@kaixinshenghuo2 你好早喔！,5,1,2,1,5,1,2,1
@o4JeqwRtSGRNwGV 相片看起來很像,4,1,1,1,4,1,1,1
@o4JeqwRtSGRNwGV 你有那麼想嗎,4,2,1,1,4,2,1,1
@fucktwi46859242 @qiqi269 吃香腸,4,2,1,1,4,2,1,1
@mucen14 我沒加😂,5,1,2,1,5,1,2,1
@popwst 舒服就好,4,1,2,1,4,1,2,1
